"question","option 1","option 2","option 3","option 4","answer"
"What is the primary focus of computer science?","Designing physical computer components","The study of algorithms, hardware, and software interactions","Creating user interfaces for multimedia applications","Managing network cables and routers","2"
"Which component is considered the ""brain"" of the computer?","RAM","CPU","Motherboard","SSD","2"
"What does RAM stand for?","Rapid Access Memory","Random Access Memory","Read-Only Memory","Remote Access Module","2"
"Which of the following is an example of an operating system?","Microsoft Word","Google Chrome","Windows 11","Adobe Photoshop","3"
"What does the CPU do in a computer?","Stores data permanently","Executes program instructions","Connects external devices","Manages network traffic","2"
"What is a process in computing?","A physical component of the computer","A program in execution","A type of network protocol","A temporary storage unit","2"
"How do threads relate to a process?","Threads are separate processes with their own memory","Threads are smaller tasks within a process, sharing memory","Threads are hardware components","Threads are network connections","2"
"What is the main benefit of multithreading?","Running tasks on separate computers","Allowing multiple tasks to execute concurrently or in parallel","Reducing the need for CPU cores","Storing data permanently","2"
"Why is RAM called ""random access""?","It randomly selects data to store","Data can be accessed in any order","It stores data permanently","It connects randomly to the CPU","2"
"What happens to stack memory when a function finishes execution?","It is permanently stored","It is automatically deallocated","It is moved to the heap","It is shared with other processes","2"
"What is the heap used for in memory management?","Storing temporary function data","Dynamic memory allocation during program execution","Managing CPU instructions","Connecting hardware components","2"
"What is the role of the motherboard in a computer?","Executes program instructions","Stores data permanently","Connects all hardware components","Manages network protocols","3"
"What is the kernel in an operating system?","A user interface for applications","The core that communicates with hardware","A type of storage device","A network protocol","2"
"What does an IP address do in networking?","Identifies a device’s hardware","Identifies a device on a network","Manages session connections","Encrypts data packets","2"
"How many layers are in the OSI model?","Five","Six","Seven","Eight","3"
"What is the main difference between IPv4 and IPv6?","IPv4 uses 128 bits, IPv6 uses 32 bits","IPv4 uses 32 bits, IPv6 uses 128 bits","IPv4 is for local networks, IPv6 is for global networks","IPv4 is more secure than IPv6","2"
"What is a MAC address?","A temporary network identifier","A unique hardware identifier assigned by the manufacturer","A protocol for data transfer","A type of IP address","2"
"What does TCP ensure in network communication?","Data encryption","Reliable data delivery","Hardware identification","Session management","2"
"Which programming language is commonly used for web interactivity?","Java","Python","JavaScript","C++","3"
"What does system architecture define?","Only the hardware components of a system","The structure, behavior, and interactions of system components","Only the software applications","The network protocols used","2"
