Question,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Option
"What are the three standard file descriptors present in every process?","stdin (0), stdout (1), stderr (2)","input (1), output (2), error (3)","read (0), write (1), execute (2)","file (0), socket (1), pipe (2)","None of the above",1
"Which statement is TRUE about TCP (Transmission Control Protocol)?","TCP is faster than UDP because it has less overhead","TCP does not preserve message boundaries - data is treated as a continuous stream","TCP connections do not require a handshake","TCP is best for real-time video streaming","TCP packets can arrive out of order",2
"What is the TIME_WAIT state in TCP connection lifecycle?","A state where the server waits for new connections","A state where data is being transmitted","A closed connection that waits 60-120 seconds before the port can be reused","The initial connection handshake phase","A state indicating connection timeout error",3
"When reading a large file (>1GB) in Python, which approach is most memory-efficient?","file.read() to load entire file into memory","file.readlines() to get all lines as a list","for line in file: to process one line at a time","json.load(file) to parse as JSON","open(file).read().split() to split into words",3
"Which Linux command combination will count the number of ERROR lines in a log file?","cat log.txt | wc -l","grep ERROR log.txt | wc -l","find log.txt -name ERROR","ls -l log.txt | grep ERROR","cat log.txt | find ERROR",2
"What is the main difference between UDP and TCP protocols?","UDP is connection-based and reliable, TCP is connectionless","UDP preserves message boundaries but is unreliable, TCP is a reliable stream","UDP is slower than TCP due to error checking","UDP requires a three-way handshake, TCP does not","UDP is only used for email, TCP is only for web browsing",2
"Why should you always use the 'with' statement when opening files in Python?","It makes the code run faster","It automatically closes the file even if an error occurs","It allows you to open multiple files simultaneously","It converts binary files to text automatically","It is required by Python syntax",2
"What does the chmod +x command do in Linux?","Deletes the file","Makes a file executable","Changes file ownership","Compresses the file","Renames the file",2
"Which of the following will cause 'Too many open files' error?","Writing too much data to a single file","Opening many files without closing them","Reading a very large file","Using too much disk space","Having too many directories",2
"What is an i-node in a file system?","A networking protocol for file transfer","A data structure containing file metadata and pointers to data blocks","A type of hard drive partition","A directory entry containing filenames","A backup copy of a file",2
"In TCP, what happens when you call socket.send() twice with 'Hello' and 'World'?","The receiver always gets two separate messages: 'Hello' and 'World'","The receiver might get 'HelloWorld' combined or split like 'Hel' and 'loWorld'","The second send() will fail because socket is busy","Only the first message is sent, second is discarded","The messages are automatically queued and sent one by one",2
"Which command shows real-time updates of a log file in Linux?","cat log.txt","head log.txt","tail -f log.txt","less log.txt","grep log.txt",3
"What does the pipe operator | do in shell commands?","Sends output to a file","Sends output of one command as input to another command","Runs two commands sequentially","Runs commands in the background","Creates a backup of the command output",2
"Which file mode in Python will append data to the end of an existing file?","'r' - read mode","'w' - write mode","'a' - append mode","'x' - exclusive creation mode","'b' - binary mode",3
"What is the purpose of connection pooling in network programming?","To compress data before sending","To encrypt network traffic","To reuse connections instead of creating new ones, avoiding TIME_WAIT buildup","To balance load across multiple servers","To cache DNS lookups",3
"Which statement is TRUE about file descriptors?","File descriptors are only used for regular files, not sockets or pipes","File descriptors start from 0, where 0=stdin, 1=stdout, 2=stderr","Each file descriptor can only be used once","File descriptors are unlimited resources","Windows does not use file descriptors",2
"What is the correct way to handle potential FileNotFoundError in Python?","Ignore it and let the program crash","Use if os.path.exists() before opening","Use try-except block to catch the exception","Check file permissions first","Use while loop until file exists",3
"Which Linux command will find all .log files modified in the last 7 days?","grep -r .log *","ls -l *.log","find . -name '*.log' -mtime -7","locate *.log","cat *.log",3
"In shell scripting, how do you save the output of a command to a file (overwriting)?","command | file.txt","command < file.txt","command > file.txt","command >> file.txt","command & file.txt",3
"What is the Windows PowerShell equivalent of Linux 'ls' command?","Get-ChildItem (or just 'ls' as alias)","Show-Directory","List-Files","Display-Items","dir only",1
"Why does TIME_WAIT state exist in TCP?","To make connections slower for security","To prevent old delayed packets from interfering with new connections using same port","To allow server to rest between connections","To encrypt the connection","It's a bug in TCP protocol",2
"Which approach is CORRECT for reading a CSV file in Python?","Open in binary mode: open('file.csv', 'rb')","Read entire file: open('file.csv').read()","Use csv module with context manager: with open('file.csv') as f: csv.reader(f)","Use json.load() to parse CSV","Use eval() to parse CSV data",3
"What does 'netstat -tuln' command show in Linux?","List of all files in /net directory","Open network ports and listening services","Network speed test results","WiFi signal strength","DNS server addresses",2
"In bash scripting, how do you check if a file exists?","if [ -f 'file.txt' ]; then","if exists('file.txt'); then","if file.exists('file.txt'); then","if test file.txt; then","if [ file.txt ]; then",1
"What is port exhaustion and when does it typically occur?","When a server runs out of disk space","When all available ephemeral ports are in TIME_WAIT state from too many short-lived connections","When network bandwidth is fully utilized","When too many users connect to a web server","When the router cannot handle more connections",2
